SalesID,DateID,ProductID,StoreID,CustomerID,PromotionID,SupplierID,InventoryID,LocationID,SalesAmount,ProfitMargin,Discounts,Costs,UnitsSold,Returns,InventoryTurnover,ForecastedSales,PredictedRevenue
1,208,76,44,426,3,6,58,16,201.76,0.09,16.0,228.84,19,1,7.04,911.42,1278.54
2,27,20,15,331,8,10,42,25,371.75,0.2,36.32,295.41,11,1,4.2,735.09,263.28
3,72,48,44,193,2,19,35,1,329.77,0.18,27.78,288.3,2,2,5.31,999.81,472.71
4,60,71,26,495,5,10,32,24,321.53,0.06,36.47,115.87,13,0,7.86,553.97,130.96
5,145,54,9,168,5,25,54,3,446.44,0.13,29.54,142.77,14,2,12.34,994.9,552.92
6,93,78,1,339,7,30,45,32,496.78,0.1,27.28,367.0,2,2,9.87,542.12,1052.61
7,309,75,35,236,5,26,48,34,285.77,0.15,16.03,339.71,12,2,14.38,89.9,843.72
8,8,71,44,294,9,3,86,49,177.39,0.11,19.77,103.55,13,1,14.67,806.39,526.73
9,79,29,20,298,3,1,85,25,390.54,0.26,44.37,235.23,14,0,5.38,887.21,667.58
10,27,74,45,248,9,18,92,43,75.34,0.22,28.8,43.8,13,0,10.24,453.73,359.37
11,174,93,6,165,1,15,49,3,258.89,0.24,26.22,261.89,19,2,10.92,157.37,961.75
12,50,73,42,312,3,20,34,7,264.63,0.14,2.66,248.92,14,0,8.84,937.45,261.6
13,199,100,10,71,4,4,16,42,491.82,0.05,33.54,106.3,10,2,12.25,902.24,431.63
14,349,48,48,231,6,18,11,35,495.55,0.1,34.3,169.31,10,2,4.87,270.27,1080.73
15,181,74,33,55,10,10,97,29,400.61,0.24,34.53,313.14,11,1,11.66,178.5,486.05
16,24,83,16,473,8,22,19,40,239.14,0.2,4.56,102.92,3,0,4.52,102.76,1122.84
17,316,56,36,182,7,22,92,25,275.88,0.18,15.02,307.58,10,2,8.6,229.31,218.73
18,46,95,6,22,8,19,29,28,163.27,0.12,18.56,127.24,2,0,2.58,826.03,1066.22
19,15,17,19,283,6,17,54,24,415.77,0.07,41.32,335.99,8,0,10.6,587.16,719.76
20,153,9,31,105,6,10,53,5,374.54,0.25,49.03,13.17,4,0,12.99,488.3,777.52
21,222,97,2,175,6,25,67,27,386.86,0.06,20.74,104.0,16,2,11.37,900.05,711.29
22,206,34,18,294,3,4,82,10,73.64,0.06,27.71,71.87,1,1,14.35,348.23,406.26
23,273,45,42,368,10,25,82,12,202.32,0.12,0.37,356.34,10,2,14.84,471.67,971.41
24,236,88,28,39,4,5,76,18,270.99,0.19,0.44,171.98,6,1,7.45,955.07,487.93
25,340,9,4,399,6,7,82,38,66.71,0.3,3.73,218.69,13,0,3.17,283.75,680.9
26,228,7,1,375,7,19,32,8,187.47,0.07,35.97,97.59,8,0,10.98,695.18,436.03
27,9,16,47,450,3,19,100,50,48.28,0.17,8.91,52.21,7,0,6.89,176.35,582.49
28,166,19,42,445,4,8,83,38,479.63,0.2,37.89,239.7,12,0,6.37,558.85,24.13
29,319,6,50,60,6,1,56,30,376.88,0.26,21.59,114.04,18,1,3.54,852.89,763.31
30,214,11,16,392,1,24,63,9,312.27,0.22,42.5,371.61,3,2,1.57,305.42,775.29
31,117,76,45,300,7,8,4,48,106.4,0.25,43.52,191.06,17,1,11.69,183.98,796.27
32,344,61,47,299,1,19,11,43,170.39,0.18,43.99,56.13,4,2,7.75,875.92,734.36
33,72,42,2,390,10,17,3,25,76.52,0.16,27.18,10.49,9,0,6.56,187.4,650.49
34,64,13,36,212,9,9,27,30,270.38,0.2,39.43,93.68,17,0,6.14,908.91,1004.13
35,205,12,1,155,10,20,80,2,411.16,0.28,33.1,128.65,12,2,8.06,726.5,318.33
36,209,85,39,173,9,23,44,17,14.42,0.19,9.34,83.58,15,0,11.39,179.62,870.45
37,72,74,23,23,9,16,18,45,56.14,0.2,19.08,146.87,4,1,7.08,897.85,1352.39
38,277,20,26,240,4,9,30,7,118.53,0.13,48.12,351.71,2,2,2.33,254.34,196.74
39,274,50,11,488,2,19,88,22,358.46,0.2,38.63,20.13,18,2,4.62,263.26,245.41
40,320,36,42,209,7,16,70,10,447.52,0.21,13.15,320.69,2,2,2.87,759.54,1302.07
41,338,92,1,122,4,21,47,26,377.74,0.24,14.05,170.89,7,1,3.66,620.53,1361.7
42,95,88,11,253,5,26,34,13,264.85,0.19,12.71,362.66,12,2,13.24,830.34,1158.78
43,166,69,24,141,1,27,76,42,57.03,0.1,16.44,267.15,16,2,3.41,400.31,123.62
44,32,37,10,452,10,13,42,28,378.68,0.2,46.42,66.8,14,0,11.16,729.29,173.25
45,11,12,14,340,6,19,23,36,57.29,0.12,21.68,383.84,15,2,5.23,556.11,1313.86
46,301,99,14,362,7,5,100,11,177.11,0.07,18.21,62.73,18,1,13.62,523.51,1496.65
47,217,40,7,320,3,27,40,9,157.46,0.26,11.96,135.18,16,1,9.71,633.43,1253.12
48,289,54,23,153,10,2,15,16,182.82,0.07,44.62,391.54,15,0,10.45,912.75,1409.61
49,102,2,43,381,2,4,80,17,168.12,0.21,47.87,85.53,7,1,8.35,632.97,1383.9
50,267,50,22,214,10,12,57,5,385.74,0.3,16.18,252.84,17,0,13.98,549.74,423.56
