transaction_id,product_id,warehouse_id,supplier_id,date_id,transaction_type,quantity
1,83,20,4,133,IN,243
2,27,14,7,346,IN,477
3,19,22,20,341,IN,261
4,14,13,15,123,OUT,304
5,55,12,26,194,OUT,215
6,68,22,18,341,IN,467
7,92,2,5,271,IN,3
8,73,25,11,26,OUT,150
9,34,17,12,8,OUT,143
10,24,25,28,318,ADJUSTMENT,376
11,48,21,28,102,IN,200
12,88,14,30,150,IN,208
13,71,11,13,177,OUT,369
14,89,4,22,56,OUT,428
15,36,1,24,23,IN,166
16,82,3,16,327,ADJUSTMENT,286
17,60,7,24,220,OUT,67
18,9,1,25,154,ADJUSTMENT,217
19,18,2,6,22,IN,79
20,25,10,30,220,ADJUSTMENT,273
21,59,15,25,242,IN,328
22,61,21,28,291,ADJUSTMENT,204
23,79,7,19,329,OUT,218
24,71,22,27,77,OUT,186
25,8,5,7,99,IN,206
26,7,16,6,118,OUT,391
27,16,9,18,322,ADJUSTMENT,180
28,87,24,1,3,ADJUSTMENT,120
29,50,5,23,230,ADJUSTMENT,153
30,80,2,7,301,IN,350
31,37,10,28,199,ADJUSTMENT,82
32,35,24,11,36,ADJUSTMENT,74
33,84,16,9,282,OUT,158
34,25,10,23,214,IN,40
35,44,18,2,82,ADJUSTMENT,21
36,50,23,20,108,ADJUSTMENT,66
37,80,6,5,7,OUT,163
38,88,21,8,249,IN,220
39,99,20,6,44,IN,81
40,68,14,6,58,OUT,226
41,13,16,22,282,OUT,250
42,80,23,28,174,OUT,132
43,77,2,6,265,OUT,318
44,3,25,4,296,IN,481
45,73,17,25,163,IN,41
46,87,20,25,269,ADJUSTMENT,305
47,24,2,22,300,ADJUSTMENT,42
48,59,22,25,43,ADJUSTMENT,126
49,55,20,11,10,IN,216
50,22,5,18,184,ADJUSTMENT,415
51,28,9,9,303,ADJUSTMENT,201
52,100,18,15,46,OUT,34
53,80,21,26,76,IN,425
54,45,13,24,113,OUT,297
55,27,6,9,258,ADJUSTMENT,252
56,43,12,19,358,IN,362
57,42,24,26,273,OUT,469
58,15,19,27,231,ADJUSTMENT,62
59,26,15,13,198,ADJUSTMENT,381
60,43,7,29,112,IN,69
61,56,14,3,63,OUT,177
62,38,19,26,315,ADJUSTMENT,330
63,65,4,24,355,ADJUSTMENT,160
64,14,23,14,102,IN,261
65,86,12,5,183,IN,136
66,78,7,23,271,IN,110
67,22,9,12,355,ADJUSTMENT,240
68,18,2,21,217,ADJUSTMENT,389
69,76,12,8,175,OUT,130
70,54,3,26,119,OUT,63
71,59,14,16,347,ADJUSTMENT,164
72,90,12,10,274,ADJUSTMENT,32
73,39,22,26,108,ADJUSTMENT,22
74,11,10,24,261,IN,77
75,43,13,17,168,IN,326
76,34,19,22,149,OUT,63
77,7,14,20,177,OUT,252
78,98,21,1,331,OUT,224
79,24,23,24,144,IN,28
80,92,23,30,214,IN,301
81,97,12,21,300,OUT,160
82,98,23,16,98,IN,425
83,100,23,14,234,OUT,119
84,11,6,13,327,ADJUSTMENT,287
85,36,19,17,277,ADJUSTMENT,94
86,66,25,18,50,IN,190
87,45,13,29,280,ADJUSTMENT,52
88,2,11,11,85,OUT,494
89,20,14,30,115,OUT,22
90,55,6,29,36,IN,307
91,37,14,12,214,OUT,325
92,63,19,29,251,ADJUSTMENT,368
93,72,23,7,3,OUT,233
94,34,11,26,357,ADJUSTMENT,276
95,33,17,11,108,IN,441
96,7,21,9,346,IN,13
97,5,4,6,279,OUT,54
98,96,23,26,160,ADJUSTMENT,494
99,68,24,20,340,IN,131
100,61,8,19,265,OUT,202
101,5,4,29,26,OUT,339
102,84,16,17,271,ADJUSTMENT,120
103,1,20,15,343,ADJUSTMENT,145
104,72,21,4,287,IN,101
105,44,17,19,28,ADJUSTMENT,157
106,5,8,15,308,ADJUSTMENT,496
107,72,16,3,265,ADJUSTMENT,451
108,11,15,2,244,ADJUSTMENT,294
109,32,19,10,261,IN,143
110,56,8,14,16,IN,249
111,20,3,18,186,IN,421
112,57,6,19,350,OUT,109
113,39,11,13,16,OUT,41
114,36,25,23,330,OUT,382
115,59,4,11,22,ADJUSTMENT,177
116,27,25,19,220,ADJUSTMENT,61
117,38,9,1,183,IN,72
118,87,18,21,344,IN,236
119,28,18,24,162,ADJUSTMENT,210
120,44,2,24,334,OUT,179
121,73,19,21,71,OUT,174
122,68,23,24,212,OUT,157
123,50,7,20,68,OUT,356
124,19,21,19,258,IN,4
125,57,14,18,120,OUT,425
126,70,19,29,269,OUT,391
127,24,9,6,268,ADJUSTMENT,362
128,25,7,8,358,ADJUSTMENT,421
129,6,22,8,189,IN,483
130,77,2,22,328,OUT,447
131,44,17,16,254,IN,299
132,60,20,27,113,OUT,112
133,38,25,23,66,ADJUSTMENT,460
134,37,9,12,341,OUT,348
135,88,11,2,205,ADJUSTMENT,92
136,87,1,21,262,IN,365
137,60,6,20,150,OUT,19
138,43,24,27,143,IN,116
139,33,24,18,249,IN,371
140,36,15,24,358,IN,363
141,90,13,23,21,ADJUSTMENT,331
142,58,14,21,296,OUT,346
143,27,14,26,74,IN,421
144,98,10,16,272,ADJUSTMENT,487
145,58,13,13,267,IN,373
146,24,7,21,314,IN,77
147,26,13,7,261,ADJUSTMENT,205
148,6,24,25,84,IN,229
149,92,7,16,158,IN,337
150,55,12,5,185,ADJUSTMENT,266
151,6,13,21,310,IN,494
152,40,12,17,65,OUT,426
153,1,8,29,26,IN,396
154,63,23,17,19,OUT,39
155,41,13,4,4,ADJUSTMENT,448
156,90,18,30,41,IN,401
157,52,19,14,191,OUT,214
158,55,17,21,163,OUT,209
159,98,1,2,68,OUT,122
160,89,13,21,119,IN,53
161,97,3,17,46,OUT,92
162,34,14,28,302,IN,46
163,29,9,20,295,ADJUSTMENT,134
164,21,13,3,57,ADJUSTMENT,499
165,8,18,24,37,IN,89
166,13,3,14,159,IN,313
167,39,8,16,161,ADJUSTMENT,453
168,61,12,20,203,ADJUSTMENT,249
169,31,9,8,76,OUT,418
170,61,11,18,329,ADJUSTMENT,129
171,66,3,17,71,OUT,243
172,16,23,17,212,ADJUSTMENT,35
173,27,18,20,2,ADJUSTMENT,446
174,52,14,4,288,IN,216
175,17,11,23,347,ADJUSTMENT,498
176,61,2,18,270,ADJUSTMENT,160
177,44,16,12,235,ADJUSTMENT,463
178,58,17,2,107,IN,492
179,12,15,18,239,OUT,134
180,24,8,1,328,ADJUSTMENT,374
181,32,16,3,361,ADJUSTMENT,86
182,22,23,30,314,ADJUSTMENT,309
183,73,15,21,19,IN,252
184,32,13,18,107,OUT,343
185,82,2,3,228,IN,346
186,23,21,23,42,IN,111
187,16,23,23,26,OUT,383
188,28,22,15,83,IN,76
