supplier_id,name,contact_info
1,"Jones, Preston and Mason Canada",723-046-1849x926
2,"James, Evans and Brown Canada",891-411-7393
3,Taylor and Sons Canada,001-483-564-2087x37530
4,Ortiz-Hudson Canada,1197218114
5,Thomas-Huffman Canada,+1-374-470-1204x5561
6,Maxwell Group Canada,002-255-7941
7,Welch-Thompson Canada,(521)667-4676x212
8,"Brown, Hayes and Clark Canada",001-021-697-9729x659
9,Johnston and Sons Canada,2771670145
10,Glover-Chan Canada,8993588916
11,Mendez Ltd Canada,+1-375-628-9002x87721
12,Powell-Sanford Canada,001-753-540-8386x63177
13,Smith-Ferguson Canada,001-717-751-7016
14,"Watson, Smith and Morris Canada",(088)019-9488x37550
15,"Lee, Rhodes and Sims Canada",758.997.5711
16,Perez LLC Canada,001-305-548-8510x27261
17,Anderson-Reyes Canada,933-163-7351x609
18,"Torres, Brown and Williams Canada",779-827-0808
19,Bryant-Meyer Canada,(978)292-2169x95866
20,"Morgan, Barron and Cowan Canada",+1-346-547-2269x848
21,Ferrell-Henry Canada,833-394-5228x85158
22,Martin Group Canada,996.846.0810x6200
23,Perez Ltd Canada,424.420.4380
24,Clark Inc Canada,(719)838-6384x066
25,"Wagner, Martinez and Dawson Canada",(580)043-9735x98933
26,Brooks Ltd Canada,721-228-1606x4842
27,Wise-Dean Canada,(940)572-0259
28,"Vang, Stanley and Valdez Canada",9479851583
29,Williams Inc Canada,(818)268-8615
30,Wallace-Martinez Canada,355.543.9878
