order_date_key,order_date,day_of_week,day_of_year,month,quarter,year
D1,2023-01-01,6,1,1,1,2023
D2,2023-01-02,0,2,1,1,2023
D3,2023-01-03,1,3,1,1,2023
D4,2023-01-04,2,4,1,1,2023
D5,2023-01-05,3,5,1,1,2023
D6,2023-01-06,4,6,1,1,2023
D7,2023-01-07,5,7,1,1,2023
D8,2023-01-08,6,8,1,1,2023
D9,2023-01-09,0,9,1,1,2023
D10,2023-01-10,1,10,1,1,2023
D11,2023-01-11,2,11,1,1,2023
D12,2023-01-12,3,12,1,1,2023
D13,2023-01-13,4,13,1,1,2023
D14,2023-01-14,5,14,1,1,2023
D15,2023-01-15,6,15,1,1,2023
D16,2023-01-16,0,16,1,1,2023
D17,2023-01-17,1,17,1,1,2023
D18,2023-01-18,2,18,1,1,2023
D19,2023-01-19,3,19,1,1,2023
D20,2023-01-20,4,20,1,1,2023
D21,2023-01-21,5,21,1,1,2023
D22,2023-01-22,6,22,1,1,2023
D23,2023-01-23,0,23,1,1,2023
D24,2023-01-24,1,24,1,1,2023
D25,2023-01-25,2,25,1,1,2023
D26,2023-01-26,3,26,1,1,2023
D27,2023-01-27,4,27,1,1,2023
D28,2023-01-28,5,28,1,1,2023
D29,2023-01-29,6,29,1,1,2023
D30,2023-01-30,0,30,1,1,2023
D31,2023-01-31,1,31,1,1,2023
D32,2023-02-01,2,32,2,1,2023
D33,2023-02-02,3,33,2,1,2023
D34,2023-02-03,4,34,2,1,2023
D35,2023-02-04,5,35,2,1,2023
D36,2023-02-05,6,36,2,1,2023
D37,2023-02-06,0,37,2,1,2023
D38,2023-02-07,1,38,2,1,2023
D39,2023-02-08,2,39,2,1,2023
D40,2023-02-09,3,40,2,1,2023
D41,2023-02-10,4,41,2,1,2023
D42,2023-02-11,5,42,2,1,2023
D43,2023-02-12,6,43,2,1,2023
D44,2023-02-13,0,44,2,1,2023
D45,2023-02-14,1,45,2,1,2023
D46,2023-02-15,2,46,2,1,2023
D47,2023-02-16,3,47,2,1,2023
D48,2023-02-17,4,48,2,1,2023
D49,2023-02-18,5,49,2,1,2023
D50,2023-02-19,6,50,2,1,2023
D51,2023-02-20,0,51,2,1,2023
D52,2023-02-21,1,52,2,1,2023
D53,2023-02-22,2,53,2,1,2023
D54,2023-02-23,3,54,2,1,2023
D55,2023-02-24,4,55,2,1,2023
D56,2023-02-25,5,56,2,1,2023
D57,2023-02-26,6,57,2,1,2023
D58,2023-02-27,0,58,2,1,2023
D59,2023-02-28,1,59,2,1,2023
D60,2023-03-01,2,60,3,1,2023
D61,2023-03-02,3,61,3,1,2023
D62,2023-03-03,4,62,3,1,2023
D63,2023-03-04,5,63,3,1,2023
D64,2023-03-05,6,64,3,1,2023
D65,2023-03-06,0,65,3,1,2023
