sales_id,customer_id,product_id,order_date_key,payment_method_id,store_id,location_id,order_status,quantity_sold,discount_applied
S1,CUST1353,PROD188,D240,PM5,STORE28,LOC47,Completed,3,5.11
S2,CUST1150,PROD144,D360,PM4,STORE15,LOC26,Returned,3,24.45
S3,CUST1437,PROD163,D130,PM4,STORE21,LOC37,Returned,1,15.3
S4,CUST1423,PROD156,D137,PM1,STORE18,LOC16,Cancelled,3,29.39
S5,CUST1281,PROD115,D51,PM5,STORE30,LOC13,Returned,3,7.55
S6,CUST1998,PROD104,D166,PM4,STORE6,LOC11,Completed,4,3.6
S7,CUST1154,PROD147,D239,PM3,STORE28,LOC41,Cancelled,2,18.52
S8,CUST1248,PROD123,D78,PM1,STORE30,LOC48,Completed,2,4.13
S9,CUST1953,PROD149,D262,PM4,STORE1,LOC13,Returned,1,24.26
S10,CUST1422,PROD102,D186,PM4,STORE30,LOC43,Returned,1,28.55
S11,CUST1537,PROD123,D122,PM4,STORE15,LOC12,Completed,2,2.57
S12,CUST1641,PROD163,D116,PM5,STORE9,LOC19,Cancelled,1,5.34
S13,CUST1776,PROD191,D137,PM2,STORE18,LOC35,Returned,2,21.76
S14,CUST1088,PROD181,D280,PM3,STORE9,LOC40,Returned,3,25.15
S15,CUST1287,PROD162,D207,PM2,STORE15,LOC25,Completed,3,18.88
S16,CUST1020,PROD119,D278,PM3,STORE14,LOC9,Completed,3,26.24
S17,CUST1764,PROD109,D123,PM5,STORE3,LOC46,Completed,4,9.73
S18,CUST1228,PROD110,D269,PM3,STORE29,LOC50,Cancelled,3,9.87
S19,CUST1491,PROD182,D186,PM4,STORE28,LOC8,Cancelled,4,6.46
S20,CUST1984,PROD127,D53,PM2,STORE1,LOC48,Returned,2,24.03
S21,CUST1339,PROD170,D109,PM3,STORE2,LOC27,Returned,1,28.45
S22,CUST1868,PROD101,D152,PM3,STORE29,LOC18,Pending,3,19.1
S23,CUST1729,PROD153,D319,PM3,STORE29,LOC50,Pending,4,15.67
S24,CUST1538,PROD143,D163,PM5,STORE14,LOC1,Completed,4,15.42
S25,CUST1195,PROD134,D78,PM2,STORE10,LOC41,Completed,4,0.46
S26,CUST1448,PROD163,D80,PM2,STORE26,LOC23,Pending,3,23.79
S27,CUST1322,PROD169,D208,PM5,STORE25,LOC23,Completed,3,9.94
S28,CUST1818,PROD183,D334,PM4,STORE10,LOC36,Pending,1,26.58
S29,CUST1170,PROD186,D352,PM3,STORE23,LOC24,Pending,4,24.09
S30,CUST1114,PROD151,D233,PM5,STORE19,LOC47,Returned,4,21.99
S31,CUST1080,PROD114,D249,PM2,STORE5,LOC35,Cancelled,2,19.03
S32,CUST1222,PROD159,D27,PM4,STORE26,LOC24,Cancelled,1,18.39
S33,CUST1181,PROD148,D317,PM2,STORE17,LOC28,Returned,3,0.54
S34,CUST1032,PROD160,D323,PM2,STORE3,LOC50,Completed,4,5.18
S35,CUST1128,PROD173,D118,PM3,STORE27,LOC35,Pending,2,11.41
S36,CUST1349,PROD104,D162,PM5,STORE21,LOC10,Returned,2,5.66
S37,CUST1748,PROD192,D222,PM1,STORE2,LOC17,Completed,1,6.57
S38,CUST1396,PROD136,D314,PM2,STORE18,LOC27,Completed,4,6.3
S39,CUST1651,PROD142,D338,PM3,STORE2,LOC28,Pending,3,7.97
S40,CUST1830,PROD138,D22,PM5,STORE1,LOC31,Pending,1,4.02
S41,CUST1493,PROD163,D298,PM1,STORE5,LOC35,Pending,1,29.31
S42,CUST1002,PROD164,D78,PM4,STORE9,LOC45,Cancelled,4,9.7
S43,CUST1459,PROD104,D50,PM4,STORE6,LOC34,Pending,4,26.22
S44,CUST1072,PROD122,D89,PM2,STORE10,LOC14,Returned,4,0.62
S45,CUST1867,PROD161,D167,PM2,STORE26,LOC1,Completed,4,18.93
