DEVELOPER_ID,DEVELOPER_NAME,REPUTATION_RATING,PREVIOUS_PROJECTS_COMPLETED,FINANCIAL_STABILITY
1,Russell-Norris Canada,3.76,94,Growing
2,"Bailey, Garrett and Herrera Canada",4.71,27,Unstable
3,"Thomas, Mccormick and Weaver Canada",1.94,93,Stable
4,Williams and Sons Canada,1.56,10,Growing
5,"Ortega, Griffin and Jones Canada",2.23,51,Unstable
6,Garcia-Sanchez Canada,1.81,35,At Risk
7,Brown-Gardner Canada,2.74,82,Growing
8,Hernandez Inc Canada,1.89,32,At Risk
9,Nichols PLC Canada,2.85,7,Growing
10,Ward and Sons Canada,2.42,73,Growing
11,Johnson PLC Canada,2.66,19,Stable
12,"Gonzalez, Simon and Keith Canada",3.39,42,Unstable
13,"Hughes, Martinez and Chan Canada",3.89,3,Stable
14,Walker-Randall Canada,1.14,56,Stable
15,Medina Ltd Canada,1.12,59,Stable
16,"Frazier, Wong and Miles Canada",3.72,65,At Risk
17,Rodgers PLC Canada,3.96,38,Growing
18,Owens PLC Canada,2.44,28,At Risk
19,"Mccarthy, Wong and Patterson Canada",3.54,4,Growing
20,Williams Inc Canada,1.43,53,At Risk
21,Anderson-Scott Canada,3.01,57,Stable
22,"Garcia, Williams and Wells Canada",4.25,76,At Risk
23,Bryant Group Canada,1.84,69,At Risk
24,Adams LLC Canada,3.01,47,Growing
25,Bauer Ltd Canada,4.69,82,Stable
26,"Massey, Flores and White Canada",1.97,75,Stable
27,Smith-Watson Canada,3.17,29,Stable
28,Khan PLC Canada,2.76,27,Unstable
29,Dean Ltd Canada,1.16,61,At Risk
30,Cox-Donovan Canada,2.54,22,Stable
