EXISTING_STORE_ID,EXISTING_STORE_NAME
1,Walmart Lake Deniseburgh
2,Walmart Webbville
3,Walmart Alfredberg
4,Walmart Lake Sharonberg
5,Walmart Bergermouth
6,Walmart South Jasonburgh
7,Walmart Port Ronaldland
8,Walmart Lake Wesleybury
9,Walmart East Corey
10,Walmart South Ashley
11,Walmart Port Marcoborough
12,Walmart Grahamfort
13,Walmart Port Anthonyberg
14,Walmart Freemanmouth
15,Walmart Michaelland
16,Walmart Michelleton
17,Walmart Joshuaton
18,Walmart Port Vanessatown
19,Walmart Port Debbie
20,Walmart New Troy
21,Walmart East Julieport
22,Walmart Nicoleburgh
23,Walmart Wesleymouth
24,Walmart Williamston
25,Walmart Alanborough
