LOCATION_ID,CITY,PROVINCE_STATE,TRADE_AREA_TYPE,DISTANCE_TO_CENTER_POINT
1,North Lauren,AB,Urban,19.76
2,North Douglasstad,AB,Urban,14.92
3,West Victoriaburgh,YT,Urban,25.82
4,Howardmouth,PE,Urban,47.19
5,Edwardchester,NL,Rural,7.03
6,Escobarstad,BC,Rural,6.91
7,Lake Brentstad,QC,Rural,16.71
8,Walkerborough,MB,Suburban,36.11
9,Michaelmouth,NB,Rural,6.83
10,West Crystalchester,NL,Suburban,16.14
11,Port Cassandraland,YT,Urban,27.68
12,West Clayton,BC,Suburban,13.97
13,Wadeport,NU,Suburban,39.95
14,Mariamouth,AB,Rural,10.86
15,Lake Shawn,AB,Urban,8.9
16,Port Robertfort,NB,Urban,11.79
17,New Megan,YT,Urban,2.51
18,Bryantbury,NT,Suburban,34.1
19,Wrightville,BC,Suburban,22.88
20,Port Christopher,NT,Rural,37.47
21,Mariastad,ON,Rural,30.1
22,Ballburgh,PE,Suburban,17.71
23,Scottville,NT,Urban,18.7
24,Port Roger,NT,Rural,10.43
25,Aliciahaven,MB,Urban,47.54
26,Myerstown,SK,Rural,4.12
27,South Ashleyland,QC,Rural,5.87
28,Allenbury,NT,Rural,6.44
29,Stephaniechester,NS,Suburban,6.06
30,Everettport,NB,Suburban,12.44
31,Antoniomouth,NS,Rural,31.85
32,Port David,NU,Rural,43.42
33,Alexanderville,NT,Rural,11.04
34,Port Jason,NB,Urban,6.43
35,Port Kimberly,ON,Rural,32.19
36,West Wayneland,NS,Urban,34.74
37,Debraton,AB,Suburban,48.89
38,West Cathy,NS,Urban,30.28
39,South Kenneth,YT,Suburban,10.28
40,Port Erinside,AB,Rural,19.61
41,Port Jennifer,YT,Rural,1.08
42,East Jonathanfort,BC,Suburban,5.21
43,Katiemouth,NU,Rural,42.15
44,Owensland,NU,Suburban,19.65
45,Lake Markshire,NL,Suburban,2.73
46,Lake Justinview,NS,Rural,29.02
47,North Adrienne,AB,Urban,46.24
48,Lake Kevin,ON,Urban,15.95
49,Andradestad,QC,Rural,23.02
50,Port Christopher,QC,Suburban,29.42
