PREMISE_ID,LOCATION_ID,CONSTRUCTION_ID,DEVELOPER_ID,COMPETITOR_ID,PROJECT_STATUS_ID,COMPLIANCE_ID,EXISTING_STORE_ID,RENT,RENT_ESCALATION,CAPEX,TARGETED_CUSTOMERS,MANAGEMENT_FEES,TAXES,LEASE_TERM,DECISION_OUTCOME,PREDICTED_ANNUAL_SALES,PREDICTED_DAILY_ORDERS,AVERAGE_TICKET_SIZE,EARLY_TERMINATION_TERMS,PREDICTED_GROSS_PROFITS,PREDICTED_SGA_EXPENSES
1,31,14,4,6,3,4,13,47937.41,0.04,3165173.38,10007,5835.37,10608.91,6,Rejected,4228410.28,4537,20.55,None,1843504.45,269516.6
2,31,19,22,13,4,3,19,46343.77,0.04,1118442.68,32983,8503.6,3715.95,3,Pending,2209987.57,93,150.47,6 months notice,1994901.73,316896.51
3,25,7,13,10,4,2,3,40935.93,0.08,3437898.63,59137,9228.86,5620.01,4,Pending,4713116.17,502,105.73,6 months notice,1145890.32,482837.23
4,1,7,28,3,4,1,25,43959.66,0.08,3251438.4,34502,5770.56,2354.97,4,Pending,4430599.12,3602,131.67,None,133262.44,174330.09
5,16,19,20,2,2,5,15,34055.81,0.08,3106825.29,6165,3512.73,2803.44,1,Pending,2062322.35,1156,154.83,None,471841.14,41225.5
6,45,4,19,12,2,3,13,30513.67,0.03,2542932.28,22148,5202.17,10777.48,4,Pending,4059337.98,4635,82.27,6 months notice,743226.74,440621.82
7,21,8,19,9,3,5,21,24238.9,0.09,557385.35,90386,8616.42,7033.0,3,Pending,1437807.84,2303,90.72,6 months notice,453992.98,289331.1
8,12,6,3,13,3,1,18,25106.12,0.03,496035.85,9832,5654.77,10664.91,2,Approved,2874665.47,2812,120.63,6 months notice,938275.89,442762.99
9,7,3,10,3,1,1,18,9152.34,0.07,4658324.66,24850,9399.67,2457.04,3,Rejected,1830768.99,74,69.54,None,308753.81,108856.9
10,22,12,11,6,3,2,20,23674.69,0.06,3688600.54,35582,3825.89,8035.27,6,Pending,3043462.02,932,67.02,None,1468133.83,74569.19
11,38,2,3,11,3,3,11,49592.01,0.05,4570155.91,89106,7071.25,13374.63,1,Approved,2937033.39,573,89.91,None,1573650.49,253392.07
12,23,17,1,11,5,1,5,34125.89,0.02,2525821.97,85174,2724.88,7523.87,2,Rejected,614285.6,1462,44.58,1 year penalty,644154.33,351611.45
13,1,18,13,5,2,1,25,17361.51,0.08,601161.27,66562,8243.69,7626.26,6,Approved,4469410.43,755,90.14,6 months notice,1905592.96,68007.66
14,44,4,17,7,4,1,4,20752.29,0.08,1929225.21,41698,1427.59,11077.48,7,Approved,1298177.73,885,158.64,6 months notice,1457049.92,462728.72
15,4,12,20,14,1,2,2,36830.15,0.09,658728.54,72851,4704.79,13259.37,5,Rejected,2035649.03,4391,31.07,6 months notice,85733.3,425485.05
16,31,16,28,2,4,1,15,36243.21,0.09,4731716.76,24627,4470.95,11465.37,7,Pending,2451113.87,4057,178.6,6 months notice,130751.36,118518.08
17,48,12,23,3,4,1,17,18312.75,0.03,646329.46,3486,8292.84,1757.65,4,Rejected,3005066.11,2187,121.87,1 year penalty,1727065.09,482007.58
18,45,13,2,14,4,3,17,38584.24,0.06,4882144.47,98411,3389.78,8921.71,1,Rejected,1868160.29,4656,148.73,1 year penalty,1953322.34,240576.6
19,11,9,21,1,1,4,15,27727.6,0.08,2114499.85,66192,9906.7,8643.72,3,Pending,4832701.25,1404,102.09,1 year penalty,1594548.36,359288.06
20,2,4,18,2,4,5,19,11511.37,0.02,2036371.52,90704,8373.49,6757.0,3,Rejected,3566691.62,3994,175.89,None,1720815.23,391904.85
21,11,2,26,8,2,3,25,40246.21,0.03,3146084.49,93302,9341.13,1714.31,7,Approved,3217668.54,4170,124.7,6 months notice,349170.73,446881.5
22,41,7,15,14,5,2,18,37699.58,0.09,398767.04,83284,7118.56,5650.22,8,Approved,3285628.2,84,153.09,6 months notice,1855888.43,97290.02
23,19,18,22,14,2,2,23,40516.49,0.01,4032047.46,38162,5017.57,6845.83,9,Pending,3986210.75,1172,167.76,None,1973551.54,260792.33
24,13,13,5,14,2,5,7,7856.08,0.08,741132.09,94708,5310.7,11213.48,5,Pending,1087779.76,3260,92.55,None,1188154.83,188075.76
25,29,15,24,11,2,5,2,32016.49,0.04,4035524.14,73816,2069.12,8719.16,2,Rejected,872469.76,3875,175.82,6 months notice,1688580.22,188624.54
26,30,8,14,11,1,2,1,43307.53,0.1,4435792.0,70672,1789.27,13132.63,2,Rejected,4006700.98,2898,116.3,None,1246314.23,370674.72
27,3,9,10,15,2,4,8,6682.07,0.09,4406434.35,55313,9909.55,6898.2,7,Rejected,1281842.15,4443,71.56,1 year penalty,397915.1,327835.02
28,15,13,12,9,4,1,1,31439.58,0.08,418267.02,78257,8525.67,4596.6,8,Rejected,389727.0,1097,84.08,6 months notice,1856349.43,343754.05
29,28,14,16,10,2,3,16,29055.28,0.07,736145.74,48286,6046.56,5790.69,9,Pending,4354989.23,2554,170.25,1 year penalty,1938765.71,223740.03
30,45,19,21,5,3,3,2,29887.31,0.07,1450196.52,67894,2170.29,12993.06,6,Pending,3669026.53,790,89.97,None,783980.82,48803.29
31,22,9,23,1,5,4,22,8951.84,0.01,1033917.82,79123,5254.92,2835.93,8,Pending,1605857.03,123,112.53,1 year penalty,926860.32,442877.23
32,18,16,11,7,4,3,22,31460.56,0.1,546015.69,61438,2311.44,9460.78,3,Pending,4809724.51,4528,62.25,1 year penalty,1560124.31,433945.19
33,23,5,18,5,1,2,25,8177.41,0.07,4889742.14,29416,7061.13,14354.21,5,Approved,148612.78,2379,153.99,6 months notice,150695.81,361576.64
34,3,2,13,7,3,4,17,19655.66,0.08,1527683.72,18140,4346.18,1385.61,1,Pending,4661939.85,4240,122.22,6 months notice,1508777.29,133810.65
