BENEFIT_ID,BENEFIT_TYPE,COVERAGE_DETAILS,DESCRIPTION,EMPLOYEE_CONTRIBUTION,EMPLOYER_CONTRIBUTION
1,Dental,Extended,Week hundred outside theory her.,45.57,84.95
2,Life,Basic,Staff opportunity meeting might level together east space.,39.56,483.8
3,Disability,Basic,Write TV lay.,110.3,425.59
4,Dental,Extended,About author main what technology president finish.,82.2,127.73
5,Life,Basic,Other speak staff various know.,54.65,92.75
6,Disability,Premium,Book those kind off.,107.92,109.72
7,Vision,Extended,Strategy yeah everyone age two environmental.,88.36,275.48
8,Disability,Extended,Beat will ground support institution.,42.66,173.27
9,Disability,Extended,Dinner do product field north.,164.69,74.2
10,Disability,Extended,World understand hear class nothing board.,117.81,131.77
