PAYROLL_ID,EMPLOYEE_ID,SALARY,NET_PAY,DEDUCTION_PERCENTAGE,PAY_FREQUENCY,LAST_PAY_DATE,TAX_DEDUCTION
1,786,103503.38,93917.63,26.38,Biweekly,2025-03-02,6913.37
2,805,38232.01,88706.25,29.1,Biweekly,2025-03-04,3603.22
3,749,63965.98,68992.72,9.34,Biweekly,2025-03-28,3744.32
4,353,44058.23,27621.7,10.42,Monthly,2025-03-26,9152.79
5,141,57299.26,44664.14,23.63,Monthly,2025-03-18,3880.28
6,190,107329.74,92233.79,12.82,Biweekly,2025-03-16,5307.97
7,855,61786.49,83603.79,21.77,Biweekly,2025-02-21,5001.58
8,154,100535.04,30177.24,20.2,Biweekly,2025-03-15,5132.3
9,434,68945.0,79228.02,13.78,Monthly,2025-03-26,9090.04
10,1,93045.2,80774.19,8.25,Monthly,2025-02-17,9788.75
11,400,37149.41,53469.81,9.23,Monthly,2025-03-29,4332.12
12,362,54902.27,67876.49,24.86,Biweekly,2025-03-05,8620.0
13,688,94594.79,60972.27,12.32,Biweekly,2025-03-18,2590.01
14,757,103203.06,88716.44,24.56,Biweekly,2025-03-27,9391.45
15,529,75086.06,37542.07,14.95,Biweekly,2025-03-01,9037.22
16,484,31208.69,20554.56,17.17,Monthly,2025-03-04,4553.9
17,668,61924.57,26678.95,17.14,Monthly,2025-02-05,9873.45
18,837,107293.61,28888.04,21.78,Monthly,2025-03-25,8984.62
19,236,46910.67,77394.71,24.63,Biweekly,2025-02-13,6400.43
20,143,62451.17,94946.02,9.46,Biweekly,2025-02-23,6268.48
21,526,119549.61,61139.61,5.59,Biweekly,2025-03-14,2821.06
22,835,75473.7,58153.38,21.93,Monthly,2025-02-25,2218.68
23,184,44014.0,55826.47,7.97,Biweekly,2025-02-07,8063.04
24,845,39126.06,42925.17,7.07,Monthly,2025-02-06,4311.49
25,117,100274.88,65722.58,20.43,Biweekly,2025-02-05,9466.28
26,437,60761.75,36367.07,21.42,Monthly,2025-03-17,9648.44
27,590,97601.73,39417.02,15.97,Monthly,2025-02-20,9157.15
28,580,106625.05,85888.83,12.2,Biweekly,2025-03-09,2626.65
29,594,77059.92,63231.62,6.43,Biweekly,2025-03-15,9878.24
30,270,119831.0,54156.57,12.4,Biweekly,2025-01-31,3681.75
31,927,55687.58,36620.28,15.97,Monthly,2025-02-20,8873.73
32,823,98710.37,63096.43,6.7,Monthly,2025-03-22,9644.95
33,35,66448.41,30841.2,24.63,Biweekly,2025-03-12,7027.39
34,517,76946.85,72057.51,12.08,Monthly,2025-02-13,4278.4
35,856,46004.46,24527.9,16.7,Monthly,2025-03-05,8648.04
36,961,98680.31,90145.86,7.58,Biweekly,2025-03-09,5767.23
37,978,39009.94,63556.57,29.45,Monthly,2025-03-15,3549.41
38,553,77759.18,71205.44,22.13,Biweekly,2025-03-12,4019.91
39,185,117021.86,46491.0,5.53,Monthly,2025-02-09,3560.88
40,422,38128.63,34411.54,17.22,Monthly,2025-02-09,8825.06
41,135,58447.9,87514.29,14.91,Biweekly,2025-02-14,7976.85
42,354,46256.43,36895.16,7.04,Biweekly,2025-03-06,4966.2
43,244,78009.41,70987.92,22.31,Biweekly,2025-03-24,3451.68
44,126,31784.9,53523.77,8.2,Biweekly,2025-02-27,5499.86
45,531,110771.4,71309.97,17.59,Monthly,2025-02-14,4388.51
